FullTitle,CurrentCoords_x,CurrentCoords_y,ArmySize,HomeCoords_x,HomeCoords_y,State,Energy,Despondency,Recklessness,Liege,Foe,CharFlags1_LookDirection,CharFlags1_TimeOfDay,CharFlags2_orders,CharFlags3_InBattle,CharFlags3_InTunnel,CharFlags3_KilledFoe,CharFlags3_Loyalty,CharFlags3_UsedObject,CharFlags3_WonBattle
Luxor the Moonprince,5,92,680,38,92,Alive,255,250,200,-,Shareth the Heartstealer,N,Dawn,0,False,False,False,Moonprince,False,False
Morkin the Free,30,2,0,49,48,Alive,255,250,200,Shareth the Heartstealer,-,SE,Dawn,2,False,False,False,Heartstealer,False,False
Tarithel the Fey,24,77,0,59,78,Alive,255,122,220,Luxor the Moonprince,Shareth the Heartstealer,E,Dawn,12,False,False,False,Moonprince,False,False
Rorthron the Wise,5,92,0,9,32,Alive,255,186,210,Luxor the Moonprince,Shareth the Heartstealer,N,Dawn,5,False,False,False,Moonprince,False,False
Shareth the Heartstealer,47,26,1000,29,1,Alive,255,250,225,-,Luxor the Moonprince,S,Dawn,14,False,False,False,Heartstealer,False,False
Imgarorn the Giant,10,10,1100,0,0,Alive,235,244,150,Varangrim the Giant,Thigrim the Icelord,SE,Night,13,False,False,False,Giants,False,False
Imgormad the Giant,9,14,1000,11,2,Alive,227,238,120,Thormuk the Giant,Imildrorn the Icelord,SW,Night,13,False,False,False,Giants,False,False
Malisane the Icelord,49,11,1080,48,2,Alive,240,250,180,Imgaril the Icelord,Carormand the Barbarian,NE,Night,10,False,False,False,Heartstealer,False,False
Anvireon the Icelord,28,3,1130,28,3,Alive,255,250,160,Shareth the Heartstealer,Lorangrorn the Barbarian,N,Dawn,11,False,False,False,Heartstealer,False,False
Talormane the Icelord,33,3,1130,33,3,Alive,255,250,170,Lorelorn the Icelord,Asorthane the Giant,N,Dawn,10,False,False,False,Heartstealer,False,False
Imildrorn the Icelord,40,3,1130,40,3,Alive,255,250,180,Lorelorn the Icelord,Glormeon the Giant,N,Dawn,10,False,False,False,Heartstealer,False,False
Carorthad the Icelord,39,25,1000,61,3,Alive,160,250,120,Malirarg the Icelord,Thatruk the Dwarf,SW,Night,10,False,False,False,Heartstealer,False,False
Ushudrarg the Icelord,56,8,1200,51,4,Alive,254,250,150,Imgaril the Icelord,Obigrorn the Giant,E,Dawn,10,False,False,False,Heartstealer,False,False
Glormeon the Giant,9,8,1180,6,5,Alive,227,172,170,Imgarorn the Giant,Sortharg the Icelord,SE,Night,13,False,False,False,Giants,False,False
Thormuk the Giant,9,20,1000,21,5,Alive,181,226,140,Varangrim the Giant,Imasharg the Icelord,E,Night,13,False,False,False,Giants,False,False
Imgaril the Icelord,56,8,1180,56,8,Alive,255,250,200,Shareth the Heartstealer,Imgorthand the Fey,N,Dawn,10,False,False,False,Heartstealer,False,False
Obularg the Giant,9,20,1000,12,9,Alive,225,244,160,Thormuk the Giant,Torelorn the Dwarf,S,Night,13,False,False,False,Giants,False,False
Thigrim the Icelord,31,9,1000,28,9,Alive,235,250,130,Lorelorn the Icelord,Berorthim the Giant,W,Night,11,False,False,False,Heartstealer,False,False
Lorelorn the Icelord,35,9,1255,35,9,Alive,255,250,190,Shareth the Heartstealer,Carangrane the Giant,N,Dawn,10,False,False,False,Heartstealer,False,False
Kahangrorn the Icelord,31,27,1180,47,9,Alive,235,250,170,Zarashand the Icelord,Torormarg the Dwarf,SW,Night,10,False,False,False,Heartstealer,False,False
Malirarg the Icelord,48,24,1000,62,10,Alive,246,250,100,Imgaril the Icelord,Imgormiel the Fey,SW,Dawn,10,False,False,False,Heartstealer,False,False
Imatrorn the Giant,22,20,1030,18,12,Alive,239,238,180,Varangrim the Giant,Sortharg the Icelord,W,Night,13,False,False,False,Giants,False,False
Asorthane the Giant,10,10,1080,4,13,Alive,215,214,150,Imgarorn the Giant,Kahudrun the Icelord,E,Night,13,False,False,False,Giants,False,False
Imasharg the Icelord,37,13,1180,37,13,Alive,235,250,180,Zarashand the Icelord,Sildrorn the Giant,NE,Night,10,False,False,False,Heartstealer,False,False
Torangrorn the Icelord,60,13,1180,60,13,Alive,251,250,140,Malirarg the Icelord,Hagildrorn the Dwarf,NE,Dawn,10,False,False,False,Heartstealer,False,False
Sortharg the Icelord,22,26,985,26,14,Alive,243,250,120,Malorthand the Icelord,Imgormad the Giant,SW,24,10,False,False,False,Heartstealer,False,False
Zarashand the Icelord,44,14,1200,44,14,Alive,255,250,200,Shareth the Heartstealer,Anvildrak the Giant,N,Dawn,10,False,False,False,Heartstealer,False,False
Glororn the Icelord,47,27,1050,53,14,Alive,215,250,150,Talorthane the Icelord,Morildrane the Fey,S,Night,10,False,False,False,Heartstealer,False,False
Malorthand the Icelord,22,26,1000,33,15,Alive,255,250,110,Lorelorn the Icelord,Rorthron the Wise,SW,Dawn,11,False,False,False,Heartstealer,False,False
Varangrim the Giant,16,24,1180,17,17,Alive,239,250,200,Carangrane the Giant,Lorelorn the Icelord,S,Night,13,False,False,False,Giants,False,False
