FullTitle,CurrentCoords_x,CurrentCoords_y,ArmySize,HomeCoords_x,HomeCoords_y,State,Energy,Despondency,Recklessness,Liege,Foe,KilledBattle128,LostBattle128,ArmySize128,FortressOwner128,CharFlags1_LookDirection,CharFlags1_TimeOfDay,CharFlags2_orders,CharFlags3_InBattle,CharFlags3_InTunnel,CharFlags3_KilledFoe,CharFlags3_Loyalty,CharFlags3_UsedObject,CharFlags3_WonBattle
Luxor the Moonprince,5,92,1000,38,92,Alive,255,250,200,-,Shareth the Heartstealer,0,0,1050,117,W,Dawn,0,False,False,False,Moonprince,False,False
Morkin the Free,30,2,0,49,48,Alive,251,250,200,Shareth the Heartstealer,-,0,0,1050,75,SE,6,2,False,False,False,Heartstealer,False,False
Tarithel the Fey,26,77,0,59,78,Alive,255,250,220,Luxor the Moonprince,Shareth the Heartstealer,0,0,1050,109,NE,Dawn,12,False,False,False,Moonprince,False,False
Rorthron the Wise,5,92,0,9,32,Alive,255,250,210,Luxor the Moonprince,Shareth the Heartstealer,0,0,1050,54,N,Dawn,4,False,False,False,Moonprince,False,False
Shareth the Heartstealer,51,13,1000,29,1,Alive,245,250,225,-,Luxor the Moonprince,0,0,1050,4,SW,Night,14,False,False,False,Heartstealer,False,False
Imgarorn the Giant,0,0,1000,0,0,Alive,255,250,150,Varangrim the Giant,Thigrim the Icelord,0,0,1100,5,N,Dawn,13,False,False,False,Giants,False,False
Imgormad the Giant,11,2,1000,11,2,Alive,255,250,120,Thormuk the Giant,Imildrorn the Icelord,0,0,1050,6,N,Dawn,13,False,False,False,Giants,False,False
Malisane the Icelord,48,2,1000,48,2,Alive,255,250,180,Imgaril the Icelord,Carormand the Barbarian,0,0,1100,7,N,Dawn,10,False,False,False,Heartstealer,False,False
Anvireon the Icelord,28,3,1000,28,3,Alive,255,250,160,Shareth the Heartstealer,Lorangrorn the Barbarian,0,0,1050,8,SW,Dawn,11,False,False,False,Heartstealer,False,False
Talormane the Icelord,33,3,1000,33,3,Alive,255,250,170,Lorelorn the Icelord,Asorthane the Giant,0,0,1050,9,N,Dawn,10,False,False,False,Heartstealer,False,False
Imildrorn the Icelord,40,3,1000,40,3,Alive,255,250,180,Lorelorn the Icelord,Glormeon the Giant,0,0,1050,10,N,Dawn,10,False,False,False,Heartstealer,False,False
Carorthad the Icelord,61,3,1000,61,3,Alive,255,250,120,Malirarg the Icelord,Thatruk the Dwarf,0,0,1050,11,N,Dawn,10,False,False,False,Heartstealer,False,False
Ushudrarg the Icelord,46,9,1000,51,4,Alive,240,250,150,Imgaril the Icelord,Obigrorn the Giant,0,0,1050,12,SW,Night,10,False,False,False,Heartstealer,False,False
Glormeon the Giant,6,5,1000,6,5,Alive,255,250,170,Imgarorn the Giant,Sortharg the Icelord,0,0,1050,13,N,Dawn,13,False,False,False,Giants,False,False
Thormuk the Giant,21,5,1000,21,5,Alive,255,250,140,Varangrim the Giant,Imasharg the Icelord,0,0,1050,14,N,Dawn,13,False,False,False,Giants,False,False
Imgaril the Icelord,60,12,1000,56,8,Alive,243,250,200,Shareth the Heartstealer,Imgorthand the Fey,0,0,1050,15,SE,Night,10,False,False,False,Heartstealer,False,False
Obularg the Giant,15,12,1000,12,9,Alive,240,250,160,Thormuk the Giant,Torelorn the Dwarf,0,0,1050,16,SE,Night,13,False,False,False,Giants,False,False
Thigrim the Icelord,28,9,1000,28,9,Alive,255,250,130,Lorelorn the Icelord,Berorthim the Giant,0,0,1050,17,N,Dawn,11,False,False,False,Heartstealer,False,False
Lorelorn the Icelord,35,9,1000,35,9,Alive,255,250,190,Shareth the Heartstealer,Carangrane the Giant,0,0,1100,18,N,Dawn,10,False,False,False,Heartstealer,False,False
Kahangrorn the Icelord,47,9,1000,47,9,Alive,255,250,170,Zarashand the Icelord,Torormarg the Dwarf,0,0,1050,19,N,Dawn,10,False,False,False,Heartstealer,False,False
Malirarg the Icelord,60,12,1000,62,10,Alive,249,250,100,Imgaril the Icelord,Imgormiel the Fey,0,0,1050,20,SW,18,10,False,False,False,Heartstealer,False,False
Imatrorn the Giant,22,14,1000,18,12,Alive,231,238,180,Varangrim the Giant,Sortharg the Icelord,0,0,1050,21,E,Night,13,False,False,False,Giants,False,False
Asorthane the Giant,8,17,1000,4,13,Alive,239,250,150,Imgarorn the Giant,Kahudrun the Icelord,0,0,1050,22,SE,Night,13,False,False,False,Giants,False,False
Imasharg the Icelord,37,13,1000,37,13,Alive,255,250,180,Zarashand the Icelord,Sildrorn the Giant,0,0,1050,23,N,Dawn,10,False,False,False,Heartstealer,False,False
Torangrorn the Icelord,60,12,1000,60,13,Alive,251,250,140,Malirarg the Icelord,Hagildrorn the Dwarf,0,0,1050,24,N,8,10,False,False,False,Heartstealer,False,False
Sortharg the Icelord,31,15,1000,26,14,Alive,240,250,120,Malorthand the Icelord,Imgormad the Giant,0,0,1050,25,E,Night,10,False,False,False,Heartstealer,False,False
Zarashand the Icelord,44,14,1000,44,14,Alive,255,250,200,Shareth the Heartstealer,Anvildrak the Giant,0,0,1100,26,N,Dawn,10,False,False,False,Heartstealer,False,False
Glororn the Icelord,48,19,1000,53,14,Alive,235,250,150,Talorthane the Icelord,Morildrane the Fey,0,0,1050,27,SW,Night,10,False,False,False,Heartstealer,False,False
Malorthand the Icelord,30,18,1000,33,15,Alive,240,250,110,Lorelorn the Icelord,Rorthron the Wise,0,0,1050,28,SW,Night,11,False,False,False,Heartstealer,False,False
