FullTitle,CurrentCoords_x,CurrentCoords_y,ArmySize,HomeCoords_x,HomeCoords_y,State,Energy,Despondency,Recklessness,Liege,Foe,KilledBattle128,LostBattle128,ArmySize128,FortressOwner128,CharFlags1_LookDirection,CharFlags1_TimeOfDay,CharFlags2_orders,CharFlags3_InBattle,CharFlags3_InTunnel,CharFlags3_KilledFoe,CharFlags3_Loyalty,CharFlags3_UsedObject,CharFlags3_WonBattle
Luxor the Moonprince,5,92,1000,38,92,Alive,255,250,200,-,Shareth the Heartstealer,0,0,1200,117,W,Dawn,0,False,False,False,Moonprince,False,False
Morkin the Free,30,2,0,49,48,Alive,255,250,200,Shareth the Heartstealer,-,0,0,1200,75,SE,Dawn,2,False,False,False,Heartstealer,False,False
Tarithel the Fey,26,77,0,59,78,Alive,255,250,220,Luxor the Moonprince,Shareth the Heartstealer,0,0,1200,109,NE,Dawn,12,False,False,False,Moonprince,False,False
Rorthron the Wise,5,92,0,9,32,Alive,255,250,210,Luxor the Moonprince,Shareth the Heartstealer,0,0,1120,54,N,Dawn,4,False,False,False,Moonprince,False,False
Shareth the Heartstealer,47,26,1000,29,1,Alive,243,250,225,-,Luxor the Moonprince,0,0,1250,4,S,26,14,False,False,False,Heartstealer,False,False
Imgarorn the Giant,3,3,1100,0,0,Alive,243,250,150,Varangrim the Giant,Thigrim the Icelord,0,0,1250,5,SE,Night,13,False,False,False,Giants,False,False
Imgormad the Giant,11,2,1080,11,2,Alive,255,250,120,Thormuk the Giant,Imildrorn the Icelord,0,0,1120,6,N,Dawn,13,False,False,False,Giants,False,False
Malisane the Icelord,62,17,1000,48,2,Alive,237,250,180,Imgaril the Icelord,Carormand the Barbarian,0,0,1250,7,S,Night,10,False,False,False,Heartstealer,False,False
Anvireon the Icelord,28,3,1080,28,3,Alive,255,250,160,Shareth the Heartstealer,Lorangrorn the Barbarian,0,0,1120,8,SE,Dawn,11,False,False,False,Heartstealer,False,False
Talormane the Icelord,33,3,1080,33,3,Alive,255,250,170,Lorelorn the Icelord,Asorthane the Giant,0,0,1120,9,N,Dawn,10,False,False,False,Heartstealer,False,False
Imildrorn the Icelord,35,9,1100,40,3,Alive,255,250,180,Lorelorn the Icelord,Glormeon the Giant,0,0,1275,10,S,Dawn,10,False,False,False,Heartstealer,False,False
Carorthad the Icelord,62,15,1080,61,3,Alive,195,250,120,Malirarg the Icelord,Thatruk the Dwarf,0,0,1200,11,S,Night,10,False,False,False,Heartstealer,False,False
Ushudrarg the Icelord,58,20,1000,51,4,Alive,227,250,150,Imgaril the Icelord,Obigrorn the Giant,0,0,1200,12,SE,Night,10,False,False,False,Heartstealer,False,False
Glormeon the Giant,4,3,1050,6,5,Alive,239,250,170,Imgarorn the Giant,Sortharg the Icelord,0,0,1150,13,NW,Night,13,False,False,False,Giants,False,False
Thormuk the Giant,18,8,1050,21,5,Alive,225,250,140,Varangrim the Giant,Imasharg the Icelord,0,0,1150,14,SW,Night,13,False,False,False,Giants,False,False
Imgaril the Icelord,59,27,1130,56,8,Alive,236,250,200,Shareth the Heartstealer,Imgorthand the Fey,0,0,1200,15,S,Night,10,False,False,False,Heartstealer,False,False
Obularg the Giant,18,15,1000,12,9,Alive,210,220,160,Thormuk the Giant,Torelorn the Dwarf,0,0,1200,16,NW,Night,13,False,False,False,Giants,False,False
Thigrim the Icelord,21,16,1030,28,9,Alive,235,250,130,Lorelorn the Icelord,Berorthim the Giant,0,0,1170,17,SW,Night,11,False,False,False,Heartstealer,False,False
Lorelorn the Icelord,35,9,1100,35,9,Alive,255,250,190,Shareth the Heartstealer,Carangrane the Giant,0,0,1200,18,N,Dawn,10,False,False,False,Heartstealer,False,False
Kahangrorn the Icelord,47,9,1080,47,9,Alive,255,250,170,Zarashand the Icelord,Torormarg the Dwarf,0,0,1120,19,N,Dawn,10,False,False,False,Heartstealer,False,False
Malirarg the Icelord,59,26,1000,62,10,Alive,240,250,100,Imgaril the Icelord,Imgormiel the Fey,0,0,1120,20,S,Night,10,False,False,False,Heartstealer,False,False
Imatrorn the Giant,23,18,1000,18,12,Alive,243,238,180,Varangrim the Giant,Sortharg the Icelord,0,0,1200,21,SW,Night,13,False,False,False,Giants,False,False
Asorthane the Giant,4,13,1130,4,13,Alive,227,238,150,Imgarorn the Giant,Kahudrun the Icelord,0,0,1070,22,NW,Night,13,False,False,False,Giants,False,False
Imasharg the Icelord,29,21,1030,37,13,Alive,230,250,180,Zarashand the Icelord,Sildrorn the Giant,0,0,1170,23,SW,Night,10,False,False,False,Heartstealer,False,False
Torangrorn the Icelord,59,24,1000,60,13,Alive,239,250,140,Malirarg the Icelord,Hagildrorn the Dwarf,0,0,1200,24,S,Night,10,False,False,False,Heartstealer,False,False
Sortharg the Icelord,26,22,980,26,14,Alive,252,250,120,Malorthand the Icelord,Imgormad the Giant,370,20,1200,25,SW,7,10,False,False,False,Heartstealer,False,False
Zarashand the Icelord,44,14,1180,44,14,Alive,255,250,200,Shareth the Heartstealer,Anvildrak the Giant,0,0,1220,26,N,Dawn,10,False,False,False,Heartstealer,False,False
Glororn the Icelord,48,27,1000,53,14,Alive,191,250,150,Talorthane the Icelord,Morildrane the Fey,0,0,1200,27,S,Night,10,False,False,False,Heartstealer,False,False
Malorthand the Icelord,23,25,975,33,15,Alive,230,250,110,Lorelorn the Icelord,Rorthron the Wise,0,0,1200,28,SW,Night,11,False,False,False,Heartstealer,False,False
Varangrim the Giant,12,24,1080,17,17,Alive,235,250,200,Carangrane the Giant,Lorelorn the Icelord,0,0,1220,29,S,Night,13,False,False,False,Giants,False,False
Sigrorn the Icelord,26,22,1000,28,17,Alive,255,250,150,Malorthand the Icelord,Ulformane the Giant,0,0,1200,30,SW,Dawn,10,False,False,False,Heartstealer,False,False
Hagudrak the Icelord,47,30,1000,37,18,Alive,243,250,170,Berudrarg the Icelord,Thorthand the Fey,0,0,1250,31,SE,25,10,False,False,False,Heartstealer,False,False
Berudrarg the Icelord,48,28,1000,44,19,Alive,225,250,180,Glireon the Icelord,Luxor the Moonprince,0,0,1200,32,N,13,10,False,False,False,Heartstealer,False,False
Imgudrorn the Icelord,52,26,1030,59,19,Alive,227,250,180,Talorthane the Icelord,Berormorn the Fey,0,0,1170,33,SW,Night,10,False,False,False,Heartstealer,False,False
Talorthane the Icelord,47,24,1000,53,20,Alive,229,250,200,Fangrorn the Icelord,Imgormand the Fey,0,0,1250,34,N,25,10,False,False,False,Heartstealer,False,False
Morangrim the Icelord,26,22,1000,30,21,Alive,255,250,160,Malorthand the Icelord,Ganigrorn the Giant,0,0,1200,35,SW,Dawn,10,False,False,False,Heartstealer,False,False
Obortharg the Giant,14,21,1050,11,22,Alive,239,250,180,Obigrorn the Giant,Sigrorn the Icelord,0,0,1150,36,E,28,13,False,False,False,Giants,False,False
Glortheon the Giant,20,23,1030,26,22,Alive,235,232,200,Varangrim the Giant,Malorthand the Icelord,0,0,430,37,SW,Night,13,False,False,False,Giants,False,False
Ulfangruk the Icelord,48,28,1000,37,22,Alive,247,250,190,Berudrarg the Icelord,Carorthorn the Fey,0,0,1200,38,N,15,11,False,False,False,Heartstealer,False,False
Malarorn the Icelord,48,28,1000,42,22,Alive,249,250,170,Berudrarg the Icelord,Berormane the Fey,0,0,1200,39,N,11,10,False,False,False,Heartstealer,False,False
Ganormarg the Icelord,47,24,1000,61,23,Alive,219,250,180,Talorthane the Icelord,Carorthand the Fey,0,0,1200,40,W,Night,10,False,False,False,Heartstealer,False,False
Berorthim the Giant,14,21,1050,6,25,Alive,239,220,150,Obigrorn the Giant,Thangrarg the Icelord,0,0,1200,41,N,Night,13,False,False,False,Giants,False,False
Firim the Icelord,47,24,1000,55,25,Alive,227,250,160,Ganormarg the Icelord,Tororthane the Fey,0,0,1200,42,W,Night,10,False,False,False,Heartstealer,False,False
Glireon the Icelord,47,24,1000,47,26,Alive,237,250,190,Fangrorn the Icelord,Lorangrim the Fey,0,0,1020,43,N,29,10,False,False,False,Heartstealer,False,False
Kahangriel the Icelord,47,30,1000,31,27,Alive,227,250,170,Imgasharg the Icelord,Thigrand the Fey,0,0,1200,44,E,Night,10,False,False,False,Heartstealer,False,False
Kahudruk the Icelord,48,24,1000,59,27,Alive,215,250,150,Ganormarg the Icelord,Tharand the Fey,0,0,1070,45,W,Night,10,False,False,False,Heartstealer,False,False
Lororthane the Icelord,48,28,1000,38,28,Alive,252,250,180,Thangrarg the Icelord,Obireon the Fey,0,0,1200,46,NE,6,10,False,False,False,Heartstealer,False,False
Malirane the Icelord,42,34,1050,46,28,Alive,237,250,190,Glormarg the Icelord,Lorangrarg the Dwarf,0,0,1150,47,S,Night,10,False,False,False,Heartstealer,False,False
Kahudrun the Icelord,42,30,1230,28,29,Alive,231,250,200,Imgasharg the Icelord,Carorthane the Fey,0,0,1200,48,SE,Night,10,False,False,False,Heartstealer,False,False
Ulformane the Giant,18,30,1030,24,30,Alive,239,250,190,Imgenarg the Giant,Thortheon the Barbarian,0,0,1170,49,W,Night,13,False,False,False,Giants,False,False
Hagildrorn the Dwarf,27,36,1000,31,30,Alive,140,244,180,Imgorarg the Dwarf,Berorthim the Giant,0,0,1200,50,NW,Night,15,False,False,False,Dwarfs,False,False
Thildresh the Icelord,42,35,1100,42,30,Alive,227,250,150,Glormarg the Icelord,Ulfangrak the Dwarf,0,0,1070,51,SW,Night,10,False,False,False,Heartstealer,False,False
Glormarg the Icelord,39,38,1000,46,31,Alive,234,250,200,Shareth the Heartstealer,Glormane the Dwarf,0,0,1200,52,SW,Night,10,False,False,False,Heartstealer,False,False
Carorand the Icelord,49,35,1000,56,31,Alive,235,250,140,Carangresh the Icelord,Glortharg the Barbarian,0,0,1250,53,W,21,10,False,False,False,Heartstealer,False,False
Carangrane the Giant,15,26,1080,6,32,Alive,207,232,200,-,Glireon the Icelord,0,0,1120,54,NE,Night,13,False,False,False,Giants,False,False
Thangrorn the Giant,11,27,1130,2,33,Alive,227,226,160,Carangrane the Giant,Hagudril the Dwarf,0,0,1250,55,NE,Night,13,False,False,False,Giants,False,False
Malormun the Icelord,41,38,1000,45,33,Alive,215,250,170,Glormarg the Icelord,Imelorn the Dwarf,0,0,1200,56,SW,Night,10,False,False,False,Heartstealer,False,False
Varormane the Icelord,49,35,1000,60,33,Alive,240,250,180,Carangresh the Icelord,Kahudrarg the Barbarian,0,0,1250,57,W,Night,10,False,False,False,Heartstealer,False,False
Imgenarg the Giant,15,27,1000,13,34,Alive,227,232,180,Carangrane the Giant,Glormane the Dwarf,0,0,1250,58,NE,Night,13,False,False,False,Giants,False,False
Thorarg the Giant,18,30,1030,21,34,Alive,240,250,150,Ulformane the Giant,Imgorarg the Dwarf,0,0,1170,59,W,Night,13,False,False,False,Giants,False,False
Thirium the Icelord,46,38,1080,54,35,Alive,237,250,180,Glormarg the Icelord,Carorthay the Dwarf,0,0,1120,60,SW,Night,10,False,False,False,Heartstealer,False,False
Fenarg the Icelord,46,38,1030,49,37,Alive,225,250,130,Thirium the Icelord,Gludreon the Dwarf,0,0,1170,61,SW,Night,11,False,False,False,Heartstealer,False,False
Imgorarg the Dwarf,21,45,1000,34,38,Alive,150,202,200,-,Luxor the Moonprince,0,0,1200,62,SW,Night,15,False,False,False,Dwarfs,False,False
Torelak the Giant,15,30,1000,17,39,Alive,239,244,180,Imgenarg the Giant,Thelak the Dwarf,0,0,1200,63,N,Night,13,False,False,False,Giants,False,False
Torormarg the Dwarf,21,45,1000,31,39,Alive,150,196,150,Imgorarg the Dwarf,Obortharg the Giant,0,0,1200,64,SW,Night,15,False,False,False,Dwarfs,False,False
Ushangrane the Icelord,46,38,1030,55,39,Alive,231,250,170,Thirium the Icelord,Imgorarg the Dwarf,0,0,1170,65,W,Night,10,False,False,False,Heartstealer,False,False
Fangrorn the Icelord,47,26,1230,51,40,Alive,242,250,200,Shareth the Heartstealer,Imorthorn the Fey,0,0,1250,66,S,16,10,False,False,False,Heartstealer,False,False
Carangresh the Icelord,46,38,1100,62,40,Alive,231,250,180,Thirium the Icelord,Imgorad the Barbarian,0,0,1250,67,SW,Night,10,False,False,False,Heartstealer,False,False
Anvildrak the Giant,14,33,1000,7,41,Alive,239,250,190,Carangrane the Giant,Luxor the Moonprince,0,0,1250,68,NE,Night,13,False,False,False,Giants,False,False
Anvarorn the Icelord,47,26,1000,48,41,Alive,231,250,170,Fangrorn the Icelord,Thelak the Dwarf,0,0,1250,69,S,5,10,False,False,False,Heartstealer,False,False
Hagudril the Dwarf,47,47,1030,44,43,Alive,195,226,160,Carorthay the Dwarf,Ganormarg the Icelord,0,0,1170,70,S,Night,15,False,False,False,Dwarfs,False,False
Ganigrorn the Giant,15,39,1000,19,44,Alive,200,250,160,Imgenarg the Giant,Anvorthun the Barbarian,0,0,1200,71,NE,Night,13,False,False,False,Giants,False,False
Berangrorn the Dwarf,23,44,1080,23,44,Alive,255,250,180,Glormane the Dwarf,Carangresh the Icelord,0,0,1120,72,N,Dawn,15,False,False,False,Dwarfs,False,False
Fenorn the Giant,14,36,1000,8,45,Alive,230,250,190,Anvildrak the Giant,Carorthand the Fey,0,0,1200,73,NE,Night,13,False,False,False,Giants,False,False
Sildrorn the Giant,14,33,1000,1,46,Alive,239,250,180,Anvildrak the Giant,Imgorad the Barbarian,0,0,1200,74,NE,Night,13,False,False,False,Giants,False,False
Carorthay the Dwarf,50,53,1100,52,46,Alive,171,238,180,Lorangrarg the Dwarf,Glormarg the Icelord,0,0,1250,75,NE,Night,15,False,False,False,Dwarfs,False,False
Glortharg the Barbarian,2,49,1080,2,49,Alive,255,250,150,Carormand the Barbarian,Torormarg the Dwarf,0,0,1120,76,N,Dawn,8,False,False,False,Barbarians,False,False
Thortheon the Barbarian,24,56,1000,17,49,Alive,190,250,160,Carormand the Barbarian,Thormuk the Giant,0,0,1200,77,SE,Night,8,False,False,False,Barbarians,False,False
Glormane the Dwarf,27,43,1080,30,49,Alive,220,232,200,-,Talorthane the Icelord,0,0,1220,78,N,Night,15,False,False,False,Dwarfs,False,False
Gloruk the Dwarf,21,50,1080,21,50,Alive,255,250,150,Glormane the Dwarf,Thorthak the Barbarian,0,0,1120,79,N,Dawn,15,False,False,False,Dwarfs,False,False
Gludreon the Dwarf,52,53,1000,63,50,Alive,210,238,140,Carorthay the Dwarf,Carorthorn the Fey,0,0,1200,80,W,Night,15,False,False,False,Dwarfs,False,False
Thudrun the Dwarf,47,52,1080,47,52,Alive,255,250,180,Lorangrarg the Dwarf,Imgarorn the Giant,0,0,1120,81,N,Dawn,15,False,False,False,Dwarfs,False,False
